,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.7689650535583497,0.035886309262600724,0.040885400772094724,0.020003401568222168,0.1,0.01,100,"{'colsample_bytree': 0.1, 'learning_rate': 0.01, 'n_estimators': 100}",-1.0718774548311076,-0.98586017282011,-1.0011783189316574,-1.0322200392927308,-0.9768172888015717,-1.0135906549354354,0.03469792842186473,80,-0.8277352190139462,-0.7942447456295423,-0.7890394814378314,-0.8112540508690955,-0.8032014141215752,-0.805094982214398,0.013635298224011985
1,3.480167818069458,0.08201468144280298,0.05898241996765137,0.0005607464157658817,0.1,0.01,200,"{'colsample_bytree': 0.1, 'learning_rate': 0.01, 'n_estimators': 200}",-1.0235663786331501,-0.9815396700706991,-0.997643362136685,-1.0514734774066798,-0.9673870333988213,-1.004321984329207,0.030071376586895623,79,-0.7767629149479474,-0.7394421528186996,-0.7460223924572775,-0.7470293626632623,-0.7491898261808897,-0.7516893298136152,0.012951872506216417
2,8.484596633911133,0.07696345878339134,0.17474145889282228,0.04190692428437564,0.1,0.01,500,"{'colsample_bytree': 0.1, 'learning_rate': 0.01, 'n_estimators': 500}",-0.9120188531029065,-0.8896307934014139,-0.9104477611940298,-0.9473477406679764,-0.8891944990176818,-0.9097279294768018,0.02119685508594884,76,-0.6161854252602632,-0.6057748968768415,-0.6002749950893734,-0.5980555828341353,-0.6058136109201611,-0.6052209021961549,0.006271886134644819
3,16.87022376060486,0.2592298704129971,0.35514583587646487,0.019922843111516746,0.1,0.01,1000,"{'colsample_bytree': 0.1, 'learning_rate': 0.01, 'n_estimators': 1000}",-0.8468185388845247,-0.8354281225451688,-0.8385703063629222,-0.8844793713163065,-0.8365422396856581,-0.848367715758916,0.018491705188288694,68,-0.42447456295423297,-0.40326065605971323,-0.4215281869966608,-0.41166650299518803,-0.41873711087105964,-0.41593340397537093,0.007627827342342427
4,33.750318956375125,1.2610935549377873,0.7468408107757568,0.02428094348928272,0.1,0.01,2000,"{'colsample_bytree': 0.1, 'learning_rate': 0.01, 'n_estimators': 2000}",-0.7918303220738413,-0.8130400628436764,-0.8012568735271013,-0.8290766208251473,-0.7834970530451867,-0.8037401864629906,0.01603882022070454,58,-0.18630917305048125,-0.17059516794342958,-0.17580043213514043,-0.17067661789256605,-0.18196994991652754,-0.17707026818762897,0.006225470503946298
5,1.8249796867370605,0.04955623418317384,0.030816984176635743,0.000278301439343377,0.1,0.05,100,"{'colsample_bytree': 0.1, 'learning_rate': 0.05, 'n_estimators': 100}",-0.9222309505106049,-0.8546739984289081,-0.8837391987431265,-0.9485265225933203,-0.9033398821218075,-0.9025021104795534,0.032086603621671345,73,-0.6063641720683559,-0.5989982321744255,-0.6125515615792575,-0.6012962781105764,-0.6106255523912403,-0.6059671592647712,0.005207603576946377
6,3.4624525547027587,0.07046039787165784,0.06031503677368164,0.0039450889962378485,0.1,0.05,200,"{'colsample_bytree': 0.1, 'learning_rate': 0.05, 'n_estimators': 200}",-0.8440691280439906,-0.828750981932443,-0.8578161822466615,-0.8836935166994107,-0.8463654223968566,-0.8521390462638724,0.018294121149914636,70,-0.4251620506776665,-0.4098408956982911,-0.4268316637202907,-0.41097908278503387,-0.4227634292448198,-0.41911542442522043,0.007233628625411289
7,8.206747102737427,0.07920378688223642,0.1496506690979004,0.0029085347898700977,0.1,0.05,500,"{'colsample_bytree': 0.1, 'learning_rate': 0.05, 'n_estimators': 500}",-0.7827965435978005,-0.7922230950510605,-0.8008641005498822,-0.8200392927308447,-0.768565815324165,-0.7928977694507505,0.017289642321581176,53,-0.10773914751522294,-0.10891769789825181,-0.11314083677077195,-0.10546990081508396,-0.1182362761465187,-0.11070077182916986,0.0045177499935721045
8,16.101553440093994,0.20174445353245524,0.34844460487365725,0.01785596969292892,0.1,0.05,1000,"{'colsample_bytree': 0.1, 'learning_rate': 0.05, 'n_estimators': 1000}",-0.7446975648075412,-0.7611940298507462,-0.7776904948939513,-0.7972495088408644,-0.7611001964636542,-0.7683863589713515,0.017808004362416505,45,-0.006089176978982518,-0.006580239638577882,-0.009723040659988214,-0.006972404988706668,-0.009427477167828734,-0.007758467886816803,0.0015124673206983374
9,30.934782409667967,0.5771127690754954,0.7422417163848877,0.030891251789025794,0.1,0.05,2000,"{'colsample_bytree': 0.1, 'learning_rate': 0.05, 'n_estimators': 2000}",-0.7242733699921445,-0.7454831107619796,-0.7714061272584446,-0.7838899803536346,-0.7269155206286837,-0.7503936217989774,0.02375345587389621,32,-0.0003928501276762915,-0.0,-0.0,-0.0,-0.0003928115486595306,-0.0001571323352671644,0.00019244702213493171
10,1.7707104682922363,0.052526506418927504,0.034341859817504886,0.0074067110586463975,0.1,0.1,100,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'n_estimators': 100}",-0.8491751767478397,-0.8142183817753339,-0.8460329929300864,-0.8962671905697446,-0.8424361493123772,-0.8496259782670762,0.026434473629804032,69,-0.4416617560400707,-0.42260852484777056,-0.44637595757218623,-0.436806442109398,-0.4318962977511539,-0.4358697956641159,0.008203091355427464
